x,y
-55.0246219,-8.160164092
35.6130971,3.654397865
186.1172329,6.960814107
31.37931428,6.09071652
15.68420955,-11.24230461
-77.4321482,0.750205642
129.7955958,3.632949347
-60.06561222,-3.791775831
-13.97488737,-12.47654701
-3.884125281,1.797049621
-78.09040572,-1.194230297
-94.10301446,0.294811635
-39.36481748,1.557727783
30.93507915,10.60549618
14.78925105,-11.56638406
4.038963561,-3.188903443
-51.69211805,4.994783204
102.2745048,21.30393386
-68.15432476,1.28884792
82.69707416,-4.589326593
19.96446742,-6.406833336
151.7305703,14.85002677
3.133457907,-13.00453895
36.29153213,-9.958094354
-71.01685326,1.833844328
-63.59356899,-4.739051449
-88.53649924,2.254266984
-73.10927622,-0.043736836
59.01348186,1.335861291
-94.350992,1.82125
107.7842954,1.095501773
7.085073541,7.519829504
103.7106133,3.893111023
-61.52776636,-2.475914039
90.68288446,2.030957889
30.08059796,17.11139836
120.564539,8.051418801
95.84876341,32.1321249
82.45802397,-20.43901826
20.94378321,-6.267867543
39.62608602,-3.440744618
-61.81011497,9.412092255
-80.80192811,3.912059476
10.45099571,2.488910546
-30.78848659,-0.47968144
32.81783512,-2.597246763
65.24622893,-4.054435245
-82.65819777,-1.848123972
-34.61252548,-4.68221407
-55.80336065,8.108909715
-88.27682116,1.630645253
-67.90807651,6.526790081
-15.89449061,-4.073012228
-83.03754971,-0.61480837
-85.22207766,0.994347227
-21.39554441,0.010817388
11.29497156,-6.295786877
-74.12357539,2.056086345
16.45109015,-10.91533423
-30.54189168,-2.67149461
134.7626469,-3.000838574
1.654082801,-16.15250967
41.57223935,6.436024132
20.95677617,-5.976101726
249.1150634,-22.58934125
66.78999253,-1.206354401
46.90279109,-18.30647928
97.64346489,10.58443307
-80.40128165,0.861978675
-88.18127109,-0.040747368
3.075663028,3.005316493
-50.32116395,7.915722603
-9.801286077,-18.34756344
120.822415,-19.73204341
-0.906030059,0.982201577
-76.43586794,0.112820658
54.71106276,20.28068315
-93.26501136,1.258409896
-15.41749004,-4.103713575
-53.83122081,-2.637366075
103.6660785,3.821422897
-19.5697034,-8.533872898
-49.64285589,8.531169623
-80.60234253,-0.604582982
56.00189131,-8.956936804
-71.53849152,1.32204893
58.75615173,17.95322084
-15.5915576,-4.080596835
-84.97844829,3.035848472
22.86980067,3.96744976
-39.518139,0.615963371
9.986969931,4.379891035
5.639133051,1.992223209
-49.84317635,2.144271537
-90.33052866,4.089864372
-56.45829826,0.193673511
